"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"Holiday Inn San Francisco - Golden Gateway","Nob Hill, San Francisco Show on map","₹ 8,006","1 night, 2 adults","Standard  Room","Multiple bed types","8.0","Very good","1,085 reviews","https://www.booking.com/hotel/us/holiday-inn-san-francisco-golden-gateway.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=18230001_251343373_0_2_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=1&highlighted_blocks=18230001_251343373_0_2_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=18230001_251343373_0_2_0__10500&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"San Francisco Marriott Marquis Union Square","Union Square, San Francisco Show on map","₹ 18,223","1 night, 2 adults","King Room No View","1 extra-large double bed","8.6","Fabulous","2,705 reviews","https://www.booking.com/hotel/us/marriott-marquis-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=26287701_246425403_2_2_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=2&highlighted_blocks=26287701_246425403_2_2_0&hpos=2&no_rooms=1&sr_order=popularity&sr_pri_blocks=26287701_246425403_2_2_0__23900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hotel Riu Plaza Fisherman's Wharf","Fisherman's Wharf, San Francisco Show on map","₹ 25,086","1 night, 2 adults","Deluxe Queen Room with Two Queen Beds","2 large double beds","8.4","Very good","428 reviews","https://www.booking.com/hotel/us/sheraton-fishermans-wharf.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5889127_256967043_0_42_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=3&highlighted_blocks=5889127_256967043_0_42_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=5889127_256967043_0_42_0__32901&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"The Pickwick Hotel San Francisco","Union Square, San Francisco Show on map","₹ 9,539","1 night, 2 adults","Standard King Room","1 extra-large double bed","7.3","Good","2,139 reviews","https://www.booking.com/hotel/us/the-pickwick-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5607703_190214860_0_0_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=4&highlighted_blocks=5607703_190214860_0_0_0&hpos=4&no_rooms=1&sr_order=popularity&sr_pri_blocks=5607703_190214860_0_0_0__12510&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Nineteen 06 Mission","Mission, San Francisco Show on map","₹ 6,885","1 night, 2 adults","Standard Queen Room","1 large double bed","9.0","Superb","601 reviews","https://www.booking.com/hotel/us/1906-mission.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=109613201_256537162_2_1_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=5&highlighted_blocks=109613201_256537162_2_1_0&hpos=5&no_rooms=1&sr_order=popularity&sr_pri_blocks=109613201_256537162_2_1_0__9030&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Days Inn by Wyndham San Francisco Downtown/Civic Cntr Area","Western Addition, San Francisco Show on map","₹ 9,912","1 night, 2 adults","Queen Room - Disability Access/Non-Smoking","1 large double bed","8.2","Very good","981 reviews","https://www.booking.com/hotel/us/civic-center.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=52271008_246100786_2_1_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=6&highlighted_blocks=52271008_246100786_2_1_0&hpos=6&no_rooms=1&sr_order=popularity&sr_pri_blocks=52271008_246100786_2_1_0__13000&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Marriott Vacation Club Pulse, San Francisco","Fisherman's Wharf, San Francisco Show on map","₹ 14,411","1 night, 2 adults","Guest room, 1 King, No view","","8.4","Very good","1,252 reviews","https://www.booking.com/hotel/us/marriott-vacation-club-pulse.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=2986631_191394423_0_0_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=7&highlighted_blocks=2986631_191394423_0_0_0&hpos=7&no_rooms=1&sr_order=popularity&sr_pri_blocks=2986631_191394423_0_0_0__18900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Beresford Arms","Union Square, San Francisco Show on map","₹ 7,244","1 night, 2 adults","Standard Queen Room","1 large double bed","8.2","Very good","4,225 reviews","https://www.booking.com/hotel/us/beresford-arms.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5877401_203403181_0_1_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=8&highlighted_blocks=5877401_203403181_0_1_0&hpos=8&no_rooms=1&sr_order=popularity&sr_pri_blocks=5877401_203403181_0_1_0__9500&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hilton San Francisco Union Square","Union Square, San Francisco Show on map","₹ 12,123","1 night, 2 adults","One King Bed Mobility/Hearing Accessible - Roll-In Shower","1 extra-large double bed","8.0","Very good","3,569 reviews","https://www.booking.com/hotel/us/hilton-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=2985343_102714790_2_2_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=9&highlighted_blocks=2985343_102714790_2_2_0&hpos=9&no_rooms=1&sr_order=popularity&sr_pri_blocks=2985343_102714790_2_2_0__15900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"King George","Union Square, San Francisco Show on map","₹ 12,123","1 night, 2 adults","Superior Queen Room","1 large double bed","8.3","Very good","1,487 reviews","https://www.booking.com/hotel/us/king-george.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5625710_238956971_0_0_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=10&highlighted_blocks=5625710_238956971_0_0_0&hpos=10&no_rooms=1&sr_order=popularity&sr_pri_blocks=5625710_238956971_0_0_0__15900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Petite Auberge","Union Square, San Francisco Show on map","₹ 11,361","1 night, 2 adults","Queen Room","1 large double bed","8.5","Very good","669 reviews","https://www.booking.com/hotel/us/petite-auberge.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=18322601_208021635_0_1_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=11&highlighted_blocks=18322601_208021635_0_1_0&hpos=11&no_rooms=1&sr_order=popularity&sr_pri_blocks=18322601_208021635_0_1_0__14900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hotel Zephyr San Francisco","Fisherman's Wharf, San Francisco Show on map","₹ 25,848","1 night, 2 adults","King Room - Disability Access","1 extra-large double bed","8.1","Very good","4,391 reviews","https://www.booking.com/hotel/us/zephyr-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=130731618_236013679_2_2_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=12&highlighted_blocks=130731618_236013679_2_2_0&hpos=12&no_rooms=1&sr_order=popularity&sr_pri_blocks=130731618_236013679_2_2_0__33900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hilton San Francisco Financial District","Financial District, San Francisco Show on map","₹ 9,073","1 night, 2 adults","Double Room","1 double bed","7.6","Good","1,344 reviews","https://www.booking.com/hotel/us/hilton-san-francisco-financial-district.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5928403_119150907_2_2_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=13&highlighted_blocks=5928403_119150907_2_2_0&hpos=13&no_rooms=1&sr_order=popularity&sr_pri_blocks=5928403_119150907_2_2_0__11900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hotel Nikko San Francisco","Union Square, San Francisco Show on map","₹ 21,273","1 night, 2 adults","Petite Queen Room","1 large double bed","8.8","Fabulous","2,532 reviews","https://www.booking.com/hotel/us/nikko-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5855401_238769769_0_2_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=14&highlighted_blocks=5855401_238769769_0_2_0&hpos=14&no_rooms=1&sr_order=popularity&sr_pri_blocks=5855401_238769769_0_2_0__27900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Courtyard by Marriott San Francisco Union Square","Union Square, San Francisco Show on map","₹ 15,173","1 night, 2 adults","King Room","1 extra-large double bed","8.2","Very good","309 reviews","https://www.booking.com/hotel/us/courtyard-by-marriott-san-francisco-union-square.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=52833204_99469843_0_34_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=15&highlighted_blocks=52833204_99469843_0_34_0&hpos=15&no_rooms=1&sr_order=popularity&sr_pri_blocks=52833204_99469843_0_34_0__19900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hotel Beresford","Union Square, San Francisco Show on map","₹ 6,481","1 night, 2 adults","Twin Room with Two Twin Beds","2 single beds","7.4","Good","5,820 reviews","https://www.booking.com/hotel/us/beresford.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5984602_124625155_0_1_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=16&highlighted_blocks=5984602_124625155_0_1_0&hpos=16&no_rooms=1&sr_order=popularity&sr_pri_blocks=5984602_124625155_0_1_0__8500&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Greenwich Inn","Marina District, San Francisco Show on map","₹ 8,006","1 night, 2 adults","Premium Queen Room - Non-Smoking","1 large double bed","7.9","Good","1,127 reviews","https://www.booking.com/hotel/us/greenwich-inn.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5618601_201211484_0_0_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=17&highlighted_blocks=5618601_201211484_0_0_0&hpos=17&no_rooms=1&sr_order=popularity&sr_pri_blocks=5618601_201211484_0_0_0__10500&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Grant Hotel","Union Square, San Francisco Show on map","₹ 10,598","1 night, 2 adults","Queen Room","1 large double bed","7.7","Good","2,005 reviews","https://www.booking.com/hotel/us/grant.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5602001_213705637_0_0_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=18&highlighted_blocks=5602001_213705637_0_0_0&hpos=18&no_rooms=1&sr_order=popularity&sr_pri_blocks=5602001_213705637_0_0_0__13900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Galleria Park, a Joie de Vivre Hotel","Financial District, San Francisco Show on map","₹ 12,123","1 night, 2 adults","Deluxe Room with One Double Bed","1 double bed","8.7","Fabulous","591 reviews","https://www.booking.com/hotel/us/galleria-park.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5619207_205963965_2_40_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=19&highlighted_blocks=5619207_205963965_2_40_0&hpos=19&no_rooms=1&sr_order=popularity&sr_pri_blocks=5619207_205963965_2_40_0__15900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hyatt Centric Fisherman's Wharf San Francisco","Fisherman's Wharf, San Francisco Show on map","₹ 16,698","1 night, 2 adults","Queen Room with Accessible Shower - Disability Accessible","1 large double bed","8.2","Very good","879 reviews","https://www.booking.com/hotel/us/hyatt-fisherman-s-wharf.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=37440708_258634363_2_2_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=20&highlighted_blocks=37440708_258634363_2_2_0&hpos=20&no_rooms=1&sr_order=popularity&sr_pri_blocks=37440708_258634363_2_2_0__21900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Chancellor Hotel on Union Square","Union Square, San Francisco Show on map","₹ 7,549","1 night, 2 adults","Deluxe Two Twin Room - Hearing Access","2 single beds","8.6","Fabulous","1,649 reviews","https://www.booking.com/hotel/us/chancellor-on-union-square.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5863416_206182325_0_0_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=21&highlighted_blocks=5863416_206182325_0_0_0&hpos=21&no_rooms=1&sr_order=popularity&sr_pri_blocks=5863416_206182325_0_0_0__9900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Seaside Inn","Marina District, San Francisco Show on map","₹ 9,455","1 night, 2 adults","Double Room with One Double Bed","1 double bed","8.2","Very good","1,213 reviews","https://www.booking.com/hotel/us/sea-side-inn.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=41124204_174154730_0_1_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=22&highlighted_blocks=41124204_174154730_0_1_0&hpos=22&no_rooms=1&sr_order=popularity&sr_pri_blocks=41124204_174154730_0_1_0__12400&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hyatt Regency San Francisco","Financial District, San Francisco Show on map","₹ 15,936","1 night, 2 adults","Double Room with Two Double Beds - Disability Access","2 double beds","8.5","Very good","2,166 reviews","https://www.booking.com/hotel/us/hyatt-regency-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=18223013_258631938_2_2_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=23&highlighted_blocks=18223013_258631938_2_2_0&hpos=23&no_rooms=1&sr_order=popularity&sr_pri_blocks=18223013_258631938_2_2_0__20900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Queen Anne","Japantown, San Francisco Show on map","₹ 9,073","1 night, 2 adults","Standard King Room","1 extra-large double bed","8.5","Very good","437 reviews","https://www.booking.com/hotel/us/the-queen-ann.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=5775415_226065072_0_1_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=24&highlighted_blocks=5775415_226065072_0_1_0&hpos=24&no_rooms=1&sr_order=popularity&sr_pri_blocks=5775415_226065072_0_1_0__11900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"JW Marriott San Francisco Union Square","Union Square, San Francisco Show on map","₹ 22,036","1 night, 2 adults","Queen Room with Two Queen Beds","2 large double beds","8.4","Very good","380 reviews","https://www.booking.com/hotel/us/jw-marriott-san-francisco-union-square.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=26287908_246425407_0_2_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=25&highlighted_blocks=26287908_246425407_0_2_0&hpos=25&no_rooms=1&sr_order=popularity&sr_pri_blocks=26287908_246425407_0_2_0__28900&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Travelodge by Wyndham San Francisco Bay","Marina District, San Francisco Show on map","₹ 8,166","1 night, 2 adults","Double Room with Two Double Beds - Non-Smoking","2 double beds","7.5","Good","1,348 reviews","https://www.booking.com/hotel/us/travelodge-by-the-bay.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=aa44f8de759b2bef3e29506e3daec5f2&all_sr_blocks=18130123_243790647_2_0_0&checkin=2020-05-21&checkout=2020-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=26&highlighted_blocks=18130123_243790647_2_0_0&hpos=26&no_rooms=1&sr_order=popularity&sr_pri_blocks=18130123_243790647_2_0_0__10710&srepoch=1588086755&srpvid=93ff6af1efb200d4&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
